# Galaxy	Longitude	Latitude	Distance
CenA	    309.6	    19.4	    3.7
VirA	    283.7	    74.5	    18.5
ForA	    240.2	    -56.7	    20.9
NGC253	    97.4	    -88.0	    2.7
M82	        141.4	    40.6	    3.6
NGC4945	    305.3	    13.3	    4.0
M83	        314.6	    32.0	    4.0
IC342	    138.2	    10.6	    4.0
NGC6946	    95.7	    11.7	    5.9
NGC2903	    208.7	    44.5	    6.6
NGC5055	    106.0	    74.3	    7.8
NGC3628	    240.9	    64.8	    8.1
NGC3627	    242.0	    64.4	    8.1
NGC4631	    142.8	    84.2	    8.7
M51	        104.9	    68.6	    10.3
NGC891	    140.4	    -17.4	    11.0
NGC3556	    148.3	    56.3	    11.4
NGC660	    141.6	    -47.4	    15.0
NGC2146	    135.7	    24.9	    16.3
NGC3079	    157.8	    48.4	    17.4
NGC1068	    172.1	    -51.9	    17.9
NGC1365	    238.0	    -54.6	    22.3
